City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nyurba,RU,63.2842,118.3319,-20.51,100,99,2.89,overcast clouds
1,Severo-Kurilsk,RU,50.6789,156.125,28.29,81,35,4.59,scattered clouds
2,Galveston,US,29.3669,-94.9669,75.09,39,0,11.99,clear sky
3,Saint George,US,37.1041,-113.5841,73.94,15,0,5.01,clear sky
4,Punta Arenas,CL,-53.15,-70.9167,60.91,63,75,29.93,light rain
5,Cape Town,ZA,-33.9258,18.4232,64.81,78,0,13.8,clear sky
6,Changli,CN,39.7042,119.1506,39.87,63,55,16.84,broken clouds
7,Tiksi,RU,71.6872,128.8694,-9.85,95,100,9.48,overcast clouds
8,Lorengau,PG,-2.0226,147.2712,82.45,78,85,8.5,overcast clouds
9,Bredasdorp,ZA,-34.5322,20.0403,58.32,82,52,2.3,broken clouds
10,Vaini,TO,-21.2,-175.2,82.09,74,41,6.6,light rain
11,Hermanus,ZA,-34.4187,19.2345,62.8,81,55,6.67,broken clouds
12,Puerto Escondido,MX,15.85,-97.0667,85.19,56,1,5.17,clear sky
13,Dongtai,CN,32.8523,120.3095,53.6,90,38,5.99,scattered clouds
14,Puerto Ayora,EC,-0.7393,-90.3518,85.96,85,51,5.99,broken clouds
15,Meulaboh,ID,4.1363,96.1285,76.95,88,100,2.15,overcast clouds
16,Gizo,SB,-8.103,156.8419,82.51,76,98,8.08,moderate rain
17,Rikitea,PF,-23.1203,-134.9692,80.11,75,98,17.87,light rain
18,Laguna,US,38.421,-121.4238,71.89,65,20,9.22,few clouds
19,Bismarck,US,46.8083,-100.7837,64.24,36,0,14.97,clear sky
20,Hilo,US,19.7297,-155.09,80.33,76,75,11.01,broken clouds
21,Carballo,ES,43.213,-8.691,53.91,93,63,4.94,broken clouds
22,Victoria,HK,22.2855,114.1577,71.96,81,100,11.01,overcast clouds
23,Iqaluit,CA,63.7506,-68.5145,-7.31,63,100,17.27,light snow
24,Bluff,NZ,-46.6,168.3333,53.8,70,81,15.73,broken clouds
25,San Patricio,US,28.017,-97.5169,84.29,21,0,12.35,clear sky
26,Dikson,RU,73.5069,80.5464,17.83,96,100,4.43,light snow
27,Hobart,AU,-42.8794,147.3294,62.46,90,75,4.61,broken clouds
28,Cabo San Lucas,MX,22.8909,-109.9124,88.61,39,0,9.24,clear sky
29,Larsnes,NO,62.2028,5.5773,45.19,54,2,9.86,clear sky
30,Lebu,CL,-37.6167,-73.65,61.66,81,0,11.56,clear sky
31,Albany,US,42.6001,-73.9662,51.17,59,99,3.04,overcast clouds
32,Chokurdakh,RU,70.6333,147.9167,-15.5,96,100,9.33,overcast clouds
33,Jaca,ES,42.569,-0.5499,51.12,67,79,5.57,broken clouds
34,Tuktoyaktuk,CA,69.4541,-133.0374,-11.2,70,20,13.8,few clouds
35,Carnarvon,AU,-24.8667,113.6333,71.67,78,99,8.05,overcast clouds
36,Ankang,CN,32.68,109.0172,65.01,56,93,3.29,overcast clouds
37,Ushuaia,AR,-54.8,-68.3,44.26,87,100,9.22,light intensity drizzle
38,Ostrovnoy,RU,68.0531,39.5131,27.59,85,55,17.38,broken clouds
39,Bambous Virieux,MU,-20.3428,57.7575,79.05,94,75,6.91,light intensity shower rain
40,Barrow,US,71.2906,-156.7887,3.22,78,100,9.22,light snow
41,Fort Nelson,CA,58.8053,-122.7002,15.39,62,75,2.3,broken clouds
42,Mataura,NZ,-46.1927,168.8643,53.47,68,97,6.96,overcast clouds
43,Louga,RU,58.7372,29.8453,27.39,94,17,3.65,few clouds
44,Port Augusta,AU,-32.5,137.7667,75.11,55,91,5.66,overcast clouds
45,Margate,GB,51.3813,1.3862,48.31,85,100,3.0,overcast clouds
46,Victoria Point,AU,-27.5833,153.3,71.91,84,100,3.0,overcast clouds
47,Qaanaaq,GL,77.484,-69.3632,-3.75,94,100,2.53,overcast clouds
